Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,136,12,T:System.Windows.Forms.ColumnHeader,,,,,this.chName.DisplayIndex = 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,136,12,P:System.Windows.Forms.ColumnHeader.DisplayIndex,,,,,this.chName.DisplayIndex = 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,132,12,T:System.Windows.Forms.OpenFileDialog,,,,,"this.dbOpenDlg.Filter = ""Known Formats|*.dat|All Files|*.*"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,132,12,P:System.Windows.Forms.FileDialog.Filter,,,,,"this.dbOpenDlg.Filter = ""Known Formats|*.dat|All Files|*.*"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,128,12,T:System.Windows.Forms.ToolStripButton,,,,,this.secretButton.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,128,12,P:System.Windows.Forms.ToolStripItem.Visible,,,,,this.secretButton.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,127,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.secretButton.Text = ""Secret Button"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,127,12,P:System.Windows.Forms.ToolStripItem.Text,,,,,"this.secretButton.Text = ""Secret Button"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,126,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.secretButton.Tag = ""Used to de\'select\' other buttons that show a dialog"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,126,12,P:System.Windows.Forms.ToolStripItem.Tag,,,,,"this.secretButton.Tag = ""Used to de\'select\' other buttons that show a dialog"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,125,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.secretButton.Size = new System.Drawing.Size(82, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,125,12,P:System.Windows.Forms.ToolStripItem.Size,,,,,"this.secretButton.Size = new System.Drawing.Size(82, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,124,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.secretButton.Name = ""secretButton"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,124,12,P:System.Windows.Forms.ToolStripItem.Name,,,,,"this.secretButton.Name = ""secretButton"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,123,12,T:System.Windows.Forms.ToolStripButton,,,,,this.secretButton.ImageTransparentColor = System.Drawing.Color.Magenta;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,123,12,P:System.Windows.Forms.ToolStripItem.ImageTransparentColor,,,,,this.secretButton.ImageTransparentColor = System.Drawing.Color.Magenta;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,119,12,T:System.Windows.Forms.ToolStripButton,,,,,this.btnRemove.Click += new System.EventHandler(this.btnRemove_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,119,12,E:System.Windows.Forms.ToolStripItem.Click,,,,,this.btnRemove.Click += new System.EventHandler(this.btnRemove_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,118,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.btnRemove.Text = ""Remove Database"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,118,12,P:System.Windows.Forms.ToolStripItem.Text,,,,,"this.btnRemove.Text = ""Remove Database"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,117,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.btnRemove.Size = new System.Drawing.Size(105, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,117,12,P:System.Windows.Forms.ToolStripItem.Size,,,,,"this.btnRemove.Size = new System.Drawing.Size(105, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,116,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.btnRemove.Name = ""btnRemove"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,116,12,P:System.Windows.Forms.ToolStripItem.Name,,,,,"this.btnRemove.Name = ""btnRemove"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,115,12,T:System.Windows.Forms.ToolStripButton,,,,,this.btnRemove.ImageTransparentColor = System.Drawing.Color.Magenta;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,115,12,P:System.Windows.Forms.ToolStripItem.ImageTransparentColor,,,,,this.btnRemove.ImageTransparentColor = System.Drawing.Color.Magenta;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,114,12,T:System.Windows.Forms.ToolStripButton,,,,,this.btnRemove.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,114,12,P:System.Windows.Forms.ToolStripItem.Enabled,,,,,this.btnRemove.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,113,12,T:System.Windows.Forms.ToolStripItemDisplayStyle,,,,,this.btnRemove.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,113,12,T:System.Windows.Forms.ToolStripItemDisplayStyle,,,,,this.btnRemove.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,113,12,F:System.Windows.Forms.ToolStripItemDisplayStyle.Text,,,,,this.btnRemove.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,113,12,T:System.Windows.Forms.ToolStripButton,,,,,this.btnRemove.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,113,12,T:System.Windows.Forms.ToolStripItemDisplayStyle,,,,,this.btnRemove.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,113,12,P:System.Windows.Forms.ToolStripItem.DisplayStyle,,,,,this.btnRemove.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,109,12,T:System.Windows.Forms.ToolStripButton,,,,,this.btnEdit.Click += new System.EventHandler(this.btnEdit_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,109,12,E:System.Windows.Forms.ToolStripItem.Click,,,,,this.btnEdit.Click += new System.EventHandler(this.btnEdit_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,108,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.btnEdit.Text = ""Edit Database"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,108,12,P:System.Windows.Forms.ToolStripItem.Text,,,,,"this.btnEdit.Text = ""Edit Database"";"
